iter	Logloss
0	0.6869462267
1	0.6794304437
2	0.6730661601
3	0.6657838414
4	0.6589169102
5	0.6519838032
6	0.6464970147
7	0.640453034
8	0.6335638014
9	0.626773278
10	0.6212072212
11	0.6145493671
12	0.6089864564
13	0.6024423677
14	0.5958506959
15	0.5894859468
16	0.5831048498
17	0.5780041338
18	0.5741888303
19	0.5690272354
20	0.5638344588
21	0.5594762529
22	0.5547849827
23	0.5497486348
24	0.5441651745
25	0.5388543443
26	0.5349860315
27	0.5305224233
28	0.5264682134
29	0.5218675363
30	0.5170240883
31	0.5128605947
32	0.5075550727
33	0.5034382468
34	0.4995439472
35	0.4948643985
36	0.491536506
37	0.4872966031
38	0.4836454716
39	0.4801847908
40	0.4771819952
41	0.4731150184
42	0.4695363321
43	0.466378776
44	0.4632491714
45	0.4598624276
46	0.4564086768
47	0.451801201
48	0.4483351113
49	0.4451740257
50	0.4417363251
51	0.4393923998
52	0.4351811492
53	0.4328371833
54	0.4287140517
55	0.4259537281
56	0.4228234474
57	0.4202541501
58	0.4177814129
59	0.4150481416
60	0.4128990967
61	0.409799328
62	0.4070446633
63	0.4043788998
64	0.4018217532
65	0.3988041492
66	0.396102131
67	0.3935988389
68	0.3910786358
69	0.3889904339
70	0.3857964596
71	0.3832786878
72	0.3808519098
73	0.3791893693
74	0.3771256219
75	0.3752553968
76	0.3735425812
77	0.3720187483
78	0.3690762297
79	0.3670055461
80	0.364682505
81	0.3628614742
82	0.3606289263
83	0.3588329665
84	0.3566913684
85	0.3542722849
86	0.3524979837
87	0.3495743957
88	0.3476887486
89	0.3456176529
90	0.3436747868
91	0.3419277387
92	0.3402643491
93	0.3387439312
94	0.3373481511
95	0.3350645868
96	0.3330911024
97	0.3313863421
98	0.3299905776
99	0.3284301197
100	0.3265974766
101	0.3254408674
102	0.3239680136
103	0.3224225156
104	0.320937737
105	0.319413785
106	0.3181061082
107	0.316283822
108	0.3152830217
109	0.314037099
110	0.3124269105
111	0.3108795873
112	0.3094932604
113	0.3082997328
114	0.3062358442
115	0.3051437653
116	0.3036991713
117	0.3020327643
118	0.3006802199
119	0.2994651401
120	0.2980425463
121	0.2968054067
122	0.2956041468
123	0.2945833236
124	0.2931301014
125	0.2919309784
126	0.290480695
127	0.2892047857
128	0.2877271924
129	0.2863723156
130	0.2854698978
131	0.283992327
132	0.2829735661
133	0.2817675891
134	0.2806890988
135	0.2798590532
136	0.2789015456
137	0.2778582566
138	0.2766594271
139	0.2758114717
140	0.2749375506
141	0.2738067376
142	0.2727845037
143	0.2720038165
144	0.2710624543
145	0.2699548513
146	0.2692933626
147	0.2684661336
148	0.2669593194
149	0.2659165306
150	0.2647077267
151	0.2637812845
152	0.263031591
153	0.2624000297
154	0.2617690057
155	0.2607061795
156	0.2599421233
157	0.2591206685
158	0.2584559116
159	0.2575523656
160	0.256845391
161	0.2561819992
162	0.2553379207
163	0.2541312757
164	0.2528330707
165	0.2517723434
166	0.2506169634
167	0.2494298353
168	0.2488513489
169	0.2481899506
170	0.2470235047
171	0.2461372182
172	0.2450594785
173	0.244262358
174	0.2433675603
175	0.2428154995
176	0.2419240077
177	0.2411326507
178	0.2405029911
179	0.2398414668
180	0.2392105792
181	0.2384864351
182	0.2375655817
183	0.2368857968
184	0.2362655436
185	0.2356767582
186	0.2343810375
187	0.2335961498
188	0.2330695014
189	0.2326174035
190	0.2316946925
191	0.2311330583
192	0.2305382154
193	0.2297454466
194	0.2286374633
195	0.2278260804
196	0.227292827
197	0.2263936282
198	0.2257956245
199	0.2253228473
200	0.2248315153
201	0.2243865103
202	0.2236841428
203	0.2231612487
204	0.2227613157
205	0.222038361
206	0.2213067715
207	0.2206107566
208	0.2199993662
209	0.2194504491
210	0.2190185314
211	0.2185484654
212	0.2176489503
213	0.2170300719
214	0.2165887713
215	0.2160241728
216	0.2158307007
217	0.215024062
218	0.2144082627
219	0.2137458518
220	0.2132854684
221	0.2125665066
222	0.2118749187
223	0.2113956392
224	0.211066237
225	0.2106810493
226	0.2102476781
227	0.2096553866
228	0.2092276785
229	0.2088182176
230	0.2080967929
231	0.2073998226
232	0.2071414494
233	0.2064434107
234	0.2060400401
235	0.2050867807
236	0.204672368
237	0.2039015285
238	0.2033925398
239	0.2030362654
240	0.2026458766
241	0.2023362964
242	0.2018408767
243	0.2013948362
244	0.2008269171
245	0.2004425957
246	0.1997790803
247	0.1990520446
248	0.1982075933
249	0.1977617661
250	0.1974679606
251	0.1965784972
252	0.1962948076
253	0.1955664507
254	0.195209488
255	0.1947206758
256	0.1943447635
257	0.1937771796
258	0.1930385416
259	0.1926380497
260	0.192321028
261	0.1918717396
262	0.191504994
263	0.1911048581
264	0.1907198364
265	0.1906125869
266	0.1902877471
267	0.1897534324
268	0.1893460566
269	0.1888007423
270	0.1885462163
271	0.1880098975
272	0.187464717
273	0.1870485854
274	0.1867813927
275	0.1863483676
276	0.1860305331
277	0.185393153
278	0.1848376408
279	0.1845035399
280	0.1840521651
281	0.1836674943
282	0.1832709515
283	0.1828938536
284	0.1821509929
285	0.181678185
286	0.1813628127
287	0.180895365
288	0.1806397728
289	0.1803688811
290	0.1801627527
291	0.179595733
292	0.1792723117
293	0.1788638414
294	0.1783412484
295	0.1780200588
296	0.1776481924
297	0.1772231389
298	0.1768819342
299	0.1765118829
300	0.1763119047
301	0.1760506049
302	0.1757808903
303	0.175375578
304	0.1751294212
305	0.1748820863
306	0.1744559115
307	0.1742097804
308	0.1737602564
309	0.1732699627
310	0.1730376341
311	0.1725436168
312	0.1721473327
313	0.1718102002
314	0.1714298968
315	0.1710810327
316	0.1707574681
317	0.1703473598
318	0.1698494521
319	0.1694487317
320	0.1689596678
321	0.168603149
322	0.1683651536
323	0.1681417122
324	0.1679262274
325	0.1676035135
326	0.1671245033
327	0.1666845249
328	0.1664526859
329	0.1661239092
330	0.165825452
331	0.1654282874
332	0.1651582173
333	0.1647784098
334	0.1644131987
335	0.1639604285
336	0.1636318966
337	0.1633140482
338	0.1629756397
339	0.1626302948
340	0.1622188406
341	0.1618311194
342	0.1612813151
343	0.1608981285
344	0.1603488912
345	0.1601315666
346	0.1598382803
347	0.159301354
348	0.1589475906
349	0.1583982445
350	0.1580120733
