iter	Passed	Remaining
0	0	611
1	1	576
2	1	559
3	2	544
4	2	541
5	3	542
6	3	549
7	4	545
8	4	550
9	5	562
10	6	558
11	6	550
12	7	548
13	7	546
14	8	554
15	8	549
16	9	546
17	10	545
18	10	542
19	11	540
20	11	539
21	11	533
22	12	531
23	13	531
24	13	531
25	14	534
26	14	535
27	15	535
28	15	534
29	16	534
30	17	537
31	17	538
32	18	541
33	19	542
34	19	542
35	20	544
36	20	544
37	21	546
38	22	545
39	22	545
40	23	545
41	23	545
42	24	545
43	25	545
44	25	544
45	26	544
46	26	543
47	27	546
48	28	544
49	28	545
50	29	544
51	29	543
52	30	542
53	30	542
54	31	542
55	32	544
56	32	543
57	33	542
58	33	541
59	35	552
60	35	550
61	36	550
62	36	549
63	37	548
64	38	548
65	39	556
66	39	555
67	40	554
68	41	553
69	41	553
70	42	552
71	42	552
72	43	552
73	44	551
74	44	551
75	45	550
76	45	551
77	46	549
78	47	549
79	47	548
80	48	546
81	48	546
82	49	544
83	49	543
84	50	542
85	51	542
86	51	540
87	52	540
88	52	540
89	53	538
90	53	537
91	54	537
92	55	536
93	55	535
94	56	535
95	56	534
96	57	533
97	57	532
98	58	531
99	59	531
100	59	531
101	60	531
102	60	531
103	61	530
104	62	529
105	62	529
106	63	528
107	63	527
108	64	526
109	65	526
110	65	525
111	66	525
112	66	524
113	67	524
114	68	523
115	68	522
116	69	521
117	69	521
118	70	522
119	71	521
120	71	521
121	72	519
122	72	519
123	73	518
124	74	518
125	74	517
126	75	516
127	75	515
128	76	515
129	76	514
130	77	513
131	77	512
132	78	511
133	79	511
134	79	510
135	80	509
136	80	508
137	81	508
138	81	507
139	82	507
140	83	507
141	84	507
142	84	507
143	85	507
144	85	506
145	86	506
146	87	506
147	87	505
148	88	504
149	88	504
150	89	503
151	90	502
152	90	501
153	91	501
154	91	501
155	92	500
156	93	500
157	93	499
158	94	499
159	94	498
160	95	498
161	96	497
162	96	497
163	97	497
164	98	497
165	98	496
166	99	495
167	100	495
168	100	495
169	101	494
170	101	493
171	102	492
172	102	491
173	103	491
174	104	490
175	104	490
176	105	489
177	105	488
178	106	487
179	106	486
180	107	486
181	108	485
182	108	484
183	109	484
184	109	483
185	110	482
186	110	482
187	111	481
188	112	480
189	112	480
190	113	480
191	114	479
192	114	479
193	115	478
194	115	477
195	116	476
196	116	476
197	117	475
198	118	475
199	118	474
200	119	474
201	119	473
202	120	473
203	121	473
204	121	473
205	122	472
206	123	471
207	123	471
208	124	470
209	124	469
210	125	468
211	125	467
212	126	466
213	126	466
214	127	465
215	128	465
216	128	465
217	129	464
218	130	463
219	130	462
220	131	462
221	131	461
222	132	461
223	132	460
224	133	460
225	134	459
226	134	458
227	135	458
228	136	458
229	136	457
230	137	456
231	137	455
232	138	455
233	138	454
234	139	453
235	139	453
236	140	453
237	141	452
238	142	452
239	142	452
240	143	451
241	143	450
242	144	450
243	145	449
244	145	448
245	146	448
246	146	447
247	147	446
248	147	446
249	148	445
250	149	444
251	149	444
252	150	443
253	150	443
254	151	442
255	152	441
256	152	441
257	153	440
258	153	440
259	154	439
260	155	438
261	155	438
262	156	437
263	156	437
264	157	436
265	157	435
266	158	434
267	158	433
268	159	433
269	159	432
270	160	432
271	161	431
272	161	430
273	162	430
274	162	429
275	163	428
276	164	428
277	164	427
278	165	427
279	165	426
280	166	426
281	167	426
282	168	426
283	168	425
284	169	425
285	170	424
286	170	424
287	171	423
288	171	423
289	172	422
290	173	421
291	173	421
292	174	420
293	174	419
294	175	419
295	175	418
296	176	417
297	177	417
298	177	416
299	178	415
300	178	414
301	179	414
302	180	414
303	180	413
304	181	413
305	182	412
306	182	412
307	183	411
308	183	410
309	184	410
310	185	409
311	185	409
312	186	408
313	187	409
314	187	408
315	188	407
316	188	406
317	189	406
318	189	405
319	190	404
320	191	404
321	191	403
322	192	403
323	192	402
324	193	401
325	194	401
326	194	401
327	195	400
328	196	399
329	196	399
330	197	398
331	197	397
332	198	397
333	198	396
334	199	395
335	200	395
336	200	394
337	201	394
338	202	393
339	202	393
340	203	392
341	203	392
342	204	391
343	205	391
344	205	390
345	206	389
346	206	389
347	207	388
348	208	388
349	208	387
350	209	386
351	209	386
352	210	385
353	211	385
354	211	384
355	212	383
356	212	383
357	213	382
358	214	382
359	214	381
360	215	381
361	215	380
362	216	379
363	216	379
364	217	378
365	218	377
366	218	377
367	219	376
368	219	376
369	220	375
370	221	374
371	221	374
372	222	373
373	222	373
374	223	372
375	224	371
376	224	371
377	225	370
378	226	370
379	226	369
380	227	369
381	227	368
382	228	368
383	229	367
384	229	366
385	230	366
386	230	365
387	231	365
388	232	364
389	232	364
390	233	363
391	234	363
392	234	362
393	235	362
394	236	361
395	236	360
396	237	360
397	237	359
398	238	359
399	239	358
400	239	357
401	240	357
402	240	356
403	241	356
404	241	355
405	242	354
406	243	354
407	243	353
408	244	352
409	245	352
410	245	351
411	246	351
412	246	350
413	247	349
414	247	349
415	248	349
416	249	348
417	249	347
418	250	347
419	251	346
420	251	346
421	252	345
422	252	344
423	253	344
424	254	343
425	254	343
426	255	342
427	255	341
428	256	341
429	256	340
430	257	340
431	258	339
432	258	338
433	259	338
434	259	337
435	260	336
436	260	336
437	261	335
438	262	335
439	263	334
440	263	334
441	264	333
442	264	332
443	265	332
444	265	331
445	266	331
446	267	330
447	267	329
448	268	329
449	268	328
450	269	327
451	269	327
452	270	326
453	271	325
454	271	325
455	272	324
456	272	324
457	273	323
458	274	322
459	274	322
460	275	321
461	275	321
462	276	320
463	277	320
464	277	319
465	278	318
466	278	318
467	279	317
468	279	316
469	280	316
470	281	315
471	281	315
472	282	314
473	282	313
474	283	313
475	283	312
476	284	311
477	285	311
478	285	310
479	286	310
480	286	309
481	287	308
482	287	308
483	288	307
484	289	307
485	290	306
486	290	306
487	291	305
488	291	304
489	292	304
490	292	303
491	293	303
492	294	302
493	294	301
494	295	301
495	296	300
496	296	300
497	297	299
498	297	299
499	298	298
500	299	297
501	299	297
502	300	296
503	300	296
504	301	295
505	301	294
506	302	294
507	303	293
508	303	293
509	304	292
510	305	291
511	305	291
512	306	290
513	306	290
514	307	289
515	307	288
516	308	288
517	309	287
518	309	287
519	310	286
520	310	285
521	311	285
522	312	284
523	312	283
524	313	283
525	313	282
526	314	281
527	314	281
528	315	280
529	315	280
530	316	279
531	317	278
532	317	278
533	318	277
534	318	277
535	319	276
536	320	275
537	320	275
538	321	274
539	321	274
540	322	273
541	322	272
542	323	272
543	324	271
544	324	271
545	325	270
546	325	269
547	326	269
548	327	269
549	328	268
550	328	268
551	329	267
552	330	266
553	330	266
554	331	265
555	332	265
556	332	264
557	333	263
558	333	263
559	334	262
560	334	262
561	335	261
562	336	260
563	336	260
564	337	259
565	337	259
566	338	258
567	338	257
568	339	257
569	340	256
570	340	256
571	341	255
572	341	254
573	342	254
574	343	253
575	343	252
576	344	252
577	344	251
578	346	251
579	346	251
580	347	250
581	347	249
582	348	249
583	349	249
584	350	248
585	350	247
586	351	247
587	351	246
588	352	246
589	353	245
590	353	244
591	354	244
592	354	243
593	355	242
594	356	242
595	356	241
596	357	241
597	358	240
598	358	240
599	359	239
600	359	238
601	360	238
602	361	237
603	361	237
604	362	236
605	362	235
606	363	235
607	364	234
608	364	234
609	365	233
610	366	233
611	366	232
612	367	231
613	367	231
614	368	230
615	368	230
616	369	229
617	370	228
618	370	228
619	371	227
620	372	227
621	372	226
622	373	225
623	373	225
624	374	224
625	374	224
626	375	223
627	376	222
628	376	222
629	377	221
630	377	220
631	378	220
632	378	219
633	379	219
634	380	218
635	380	217
636	381	217
637	381	216
638	382	215
639	383	215
640	383	214
641	384	214
642	384	213
643	385	213
644	386	212
645	386	211
646	387	211
647	387	210
648	388	210
649	388	209
650	389	208
651	390	208
652	390	207
653	391	206
654	391	206
655	392	205
656	392	205
657	393	204
658	394	203
659	394	203
660	395	202
661	395	202
662	396	201
663	397	200
664	397	200
665	398	199
666	398	199
667	399	198
668	400	197
669	400	197
670	401	196
671	402	196
672	402	195
673	403	194
674	403	194
675	404	193
676	404	193
677	405	192
678	405	191
679	406	191
680	407	190
681	407	190
682	408	189
683	408	188
684	409	188
685	410	187
686	410	187
687	411	186
688	411	185
689	412	185
690	413	184
691	413	184
692	414	183
693	414	182
694	415	182
695	415	181
696	416	181
697	416	180
698	417	179
699	418	179
700	418	178
701	419	178
702	420	177
703	420	176
704	421	176
705	421	175
706	422	175
707	423	174
708	423	173
709	424	173
710	424	172
711	425	172
712	426	171
713	426	170
714	427	170
715	427	169
716	428	169
717	428	168
718	429	167
719	430	167
720	430	166
721	431	166
722	431	165
723	431	164
724	432	164
725	432	163
726	433	162
727	434	162
728	434	161
729	435	161
730	435	160
731	436	159
732	436	159
733	437	158
734	438	158
735	438	157
736	439	156
737	440	156
738	440	155
739	441	154
740	441	154
741	442	153
742	442	153
743	443	152
744	443	151
745	444	151
746	444	150
747	445	150
748	445	149
749	446	148
750	446	148
751	447	147
752	448	146
753	448	146
754	449	145
755	449	145
756	450	144
757	451	144
758	452	143
759	452	142
760	453	142
761	454	141
762	454	141
763	455	140
764	456	140
765	457	139
766	457	139
767	458	138
768	458	137
769	459	137
770	459	136
771	460	135
772	460	135
773	461	134
774	462	134
775	462	133
776	463	133
777	463	132
778	464	131
779	465	131
780	465	130
781	466	130
782	467	129
783	467	128
784	468	128
785	469	127
786	470	127
787	470	126
788	471	126
789	471	125
790	472	124
791	473	124
792	473	123
793	474	123
794	474	122
795	475	121
796	475	121
797	476	120
798	477	120
799	477	119
800	478	118
801	478	118
802	479	117
803	480	117
804	480	116
805	481	115
806	482	115
807	482	114
808	483	114
809	483	113
810	484	112
811	485	112
812	485	111
813	486	111
814	486	110
815	487	109
816	487	109
817	488	108
818	489	108
819	489	107
820	490	106
821	490	106
822	491	105
823	492	105
824	492	104
825	493	103
826	493	103
827	494	102
828	495	102
829	495	101
830	496	100
831	496	100
832	497	99
833	497	99
834	498	98
835	499	97
836	499	97
837	500	96
838	500	96
839	501	95
840	501	94
841	502	94
842	503	93
843	503	93
844	504	92
845	504	91
846	505	91
847	506	90
848	506	90
849	507	89
850	508	88
851	508	88
852	509	87
853	509	87
854	510	86
855	510	85
856	511	85
857	512	84
858	512	84
859	513	83
860	513	82
861	514	82
862	514	81
863	515	81
864	516	80
865	516	79
866	517	79
867	517	78
868	518	78
869	519	77
870	519	76
871	520	76
872	521	75
873	521	75
874	522	74
875	522	74
876	523	73
877	524	72
878	524	72
879	525	71
880	526	71
881	526	70
882	527	69
883	528	69
884	529	68
885	529	68
886	530	67
887	531	66
888	531	66
889	532	65
890	532	65
891	533	64
892	534	63
893	534	63
894	535	62
895	536	62
896	536	61
897	537	61
898	537	60
899	538	59
900	538	59
901	539	58
902	540	58
903	540	57
904	541	56
905	541	56
906	542	55
907	542	55
908	543	54
909	543	53
910	544	53
911	545	52
912	545	52
913	546	51
914	547	50
915	547	50
916	548	49
917	549	49
918	549	48
919	550	47
920	550	47
921	551	46
922	551	46
923	552	45
924	553	44
925	553	44
926	554	43
927	554	43
928	555	42
929	556	41
930	556	41
931	557	40
932	558	40
933	558	39
934	559	38
935	560	38
936	560	37
937	561	37
938	561	36
939	562	35
940	562	35
941	563	34
942	563	34
943	564	33
944	565	32
945	565	32
946	566	31
947	566	31
948	567	30
949	567	29
950	568	29
951	569	28
952	569	28
953	570	27
954	570	26
955	571	26
956	572	25
957	572	25
958	573	24
959	574	23
960	574	23
961	575	22
962	575	22
963	576	21
964	576	20
965	577	20
966	578	19
967	578	19
968	579	18
969	579	17
970	580	17
971	581	16
972	582	16
973	582	15
974	583	14
975	584	14
976	584	13
977	585	13
978	585	12
979	586	11
980	587	11
981	587	10
982	588	10
983	589	9
984	589	8
985	590	8
986	590	7
987	591	7
988	592	6
989	592	5
990	593	5
991	593	4
992	594	4
993	595	3
994	595	2
995	596	2
996	597	1
997	597	1
998	598	0
999	598	0
